incdtno,date,timehr,timemin,ampm,type,state,temp,visiblty,weather,trnspd,tons,loadf1,emptyf1,cause,acctrk,acctrkcl,enghr,cdtrhr,cntycd,visiblty_>1 mile and <=2 miles,visiblty_>1/2 mile and <=1 mile,visiblty_>1/4 mile and <=1/2 mile,weather_clear/pc,weather_crosswinds,weather_fog/smoke,weather_rain,weather_snow/hail,acctrkcl_max spd 10mph or less,acctrkcl_max spd 20-25mph,acctrkcl_max spd 25-40mph,acctrkcl_max spd 40-60mph,acctrkcl_max spd 60mph or more,acctrk_leased another railroad,acctrk_owned by carrier,acctrk_trackage rights only
0822SX023,2022-08-29,9,45,PM,Hazardous material release,Washington,80,>1 mile and <=2 miles,Rain,4,8159,41,87,Human,Leased Another Railroad,Max spd 10mph or less,3,3,395,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0822SX025,2022-08-30,6,0,PM,Hazardous material release,Washington,80,>1/2 mile and <=1 mile,Snow/Hail,10,6631,49,10,Human,Leased Another Railroad,Max spd 10mph or less,2,2,29,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
KS0822105,2022-08-10,10,39,AM,Derailment,Washington,90,>1/4 mile and <=1/2 mile,Rain,10,1474,11,8,Human,Leased Another Railroad,Max spd 10mph or less,3,3,375,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
0822SX025,2022-08-30,6,0,PM,Hazardous material release,Washington,80,>1/2 mile and <=1 mile,Snow/Hail,4,225,2,2,Human,Leased Another Railroad,Max spd 10mph or less,3,3,29,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
0822TO015,2022-08-18,2,15,AM,Derailment,Washington,73,>1 mile and <=2 miles,Rain,7,108,2,1,Other,Trackage Rights Only,Max spd 10mph or less,5,5,139,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0822TO024,2022-08-23,2,30,PM,Derailment,Washington,79,>1/4 mile and <=1/2 mile,Rain,9,1315,7,8,Human,Leased Another Railroad,Max spd 10mph or less,7,7,139,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
0822TO028,2022-08-23,3,45,PM,Derailment,Washington,82,>1/4 mile and <=1/2 mile,Rain,5,9914,66,34,Other,Leased Another Railroad,Max spd 10mph or less,8,8,141,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
0822TO034,2022-08-28,3,5,PM,Derailment,Washington,95,>1/4 mile and <=1/2 mile,Clear/PC,22,4867,2,106,Other,Owned by Carrier,Max spd 25-40mph,10,10,217,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
0822SX003,2022-08-05,2,15,PM,Derailment,Washington,96,>1/4 mile and <=1/2 mile,Clear/PC,22,9621,134,0,Other,Owned by Carrier,Max spd 40-60mph,6,6,491,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
RD0822107,2022-08-07,8,30,PM,Derailment,Washington,94,>1/2 mile and <=1 mile,Clear/PC,0,6247,44,0,Other,Trackage Rights Only,Max spd 10mph or less,3,3,139,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
0822SX009,2022-08-15,3,0,PM,Derailment,Washington,88,>1/4 mile and <=1/2 mile,Rain,4,2848,7,2,Other,Leased Another Railroad,Max spd 10mph or less,7,7,29,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
0722ES019,2022-07-15,10,30,AM,,Washington,85,>1/4 mile and <=1/2 mile,Clear/PC,15,0,0,1,Other,Owned by Carrier,Max spd 25-40mph,3,3,201,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
KS0822102,2022-08-05,7,20,PM,Derailment,Washington,90,>1/2 mile and <=1 mile,Clear/PC,3,5143,27,48,Other,Leased Another Railroad,Max spd 10mph or less,2,2,375,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
RD0722225,2022-07-29,2,31,AM,Trespasser,Washington,89,>1 mile and <=2 miles,Clear/PC,20,7125,94,0,Other,Owned by Carrier,Max spd 25-40mph,6,6,439,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2,2022-07-26,8,0,PM,Fire/explosion,Washington,91,>1/2 mile and <=1 mile,Clear/PC,5,2000,20,17,Human,Leased Another Railroad,Max spd 10mph or less,7,7,245,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
172105,2022-09-20,11,59,AM,Trespasser,Washington,87,>1/4 mile and <=1/2 mile,Clear/PC,72,0,0,0,Other,Owned by Carrier,Max spd 25-40mph,6,6,157,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
20028,2022-08-05,11,50,PM,Trespasser,Washington,99,>1 mile and <=2 miles,Clear/PC,77,0,0,0,Other,Owned by Carrier,Max spd 40-60mph,7,7,439,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
RD0722118,2022-07-24,10,35,AM,Derailment,Washington,91,>1/4 mile and <=1/2 mile,Clear/PC,50,17729,124,0,Other,Owned by Carrier,Max spd 25-40mph,3,3,251,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
RD0722128,2022-07-30,11,59,PM,Derailment,Washington,85,>1 mile and <=2 miles,Clear/PC,5,8506,62,17,Human,Leased Another Railroad,Max spd 10mph or less,8,8,201,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0622MA007,2022-06-01,10,10,AM,,Washington,69,>1/4 mile and <=1/2 mile,Rain,1,800,10,6,Other,Leased Another Railroad,Max spd 10mph or less,2,3,183,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
0622SX004,2022-06-03,6,42,PM,Derailment,Washington,92,>1/2 mile and <=1 mile,Clear/PC,36,21300,149,1,Other,Owned by Carrier,Max spd 20-25mph,5,5,285,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0622SX018,2022-06-22,2,40,PM,Grade crossing accident,Washington,95,>1/4 mile and <=1/2 mile,Clear/PC,24,4020,6,0,Other,Owned by Carrier,Max spd 25-40mph,4,4,29,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
0622SX027,2022-06-27,7,0,AM,,Washington,76,>1/4 mile and <=1/2 mile,Clear/PC,0,80,1,0,Human,Leased Another Railroad,Max spd 10mph or less,3,3,29,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
0622TO003,2022-06-06,3,40,PM,Derailment,Washington,97,>1/4 mile and <=1/2 mile,Clear/PC,3,4499,14,78,Human,Leased Another Railroad,Max spd 10mph or less,9,8,141,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
0622TO023,2022-06-19,1,59,PM,Derailment,Washington,98,>1/4 mile and <=1/2 mile,Clear/PC,22,3187,0,149,Other,Owned by Carrier,Max spd 25-40mph,1,1,395,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
0622TO032,2022-06-23,2,30,PM,Derailment,Washington,95,>1/4 mile and <=1/2 mile,Clear/PC,29,17875,125,0,Other,Jointly Owned,Max spd 20-25mph,9,9,145,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
KS1022103,2022-10-07,6,33,PM,Level crossing,Washington,55,>1/2 mile and <=1 mile,Rain,9,3592,12,60,Other,Leased Another Railroad,Max spd 10mph or less,3,2,381,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
RD1122120,2022-11-17,11,30,AM,Derailment,Washington,55,>1/4 mile and <=1/2 mile,Rain,9,1574,1,22,Human,Leased Another Railroad,Max spd 10mph or less,3,3,201,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
RD0922105,2022-09-07,9,0,PM,Derailment,Washington,82,>1 mile and <=2 miles,Rain,5,6344,61,0,Other,Trackage Rights Only,Max spd 10mph or less,5,5,161,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
KS0922110,2022-09-26,7,40,AM,Derailment,Washington,75,<=1/4 mile,Clear/PC,5,16577,116,0,Other,Trackage Rights Only,Max spd 10mph or less,3,3,117,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
0822SX020,2022-08-24,8,45,PM,Derailment,Washington,80,>1 mile and <=2 miles,Clear/PC,0,0,0,0,Human,Jointly Owned,Max spd 40-60mph,3,3,29,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2022000048,2022-10-10,8,30,PM,Other,Washington,82,>1 mile and <=2 miles,Clear/PC,5,246,4,0,Human,Trackage Rights Only,Max spd 10mph or less,4,4,201,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
KS1022107,2022-10-15,12,2,PM,Derailment,Washington,70,>1/4 mile and <=1/2 mile,Clear/PC,6,442,4,0,Other,Leased Another Railroad,Max spd 10mph or less,3,4,375,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
RD1022115,2022-10-17,3,30,AM,Derailment,Washington,65,>1 mile and <=2 miles,Rain,3,17733,124,0,Other,Trackage Rights Only,Max spd 10mph or less,3,3,161,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
DGN969822,2022-05-27,7,0,PM,Derailment,Washington,88,>1/4 mile and <=1/2 mile,Clear/PC,5,9576,72,0,Other,Leased Another Railroad,Max spd 10mph or less,5,5,85,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
0822SX014,2022-08-15,9,20,PM,Hazardous material release,Washington,80,>1 mile and <=2 miles,Snow/Hail,6,700,1,6,Other,Leased Another Railroad,Max spd 10mph or less,2,3,479,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
1022GC013,2022-10-15,7,0,PM,Hazardous material release,Washington,77,>1/2 mile and <=1 mile,Clear/PC,3,5051,37,13,Other,Leased Another Railroad,Max spd 10mph or less,3,3,245,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0822SX020,2022-08-24,8,45,PM,Derailment,Washington,80,>1 mile and <=2 miles,Clear/PC,5,8701,106,25,Human,Jointly Owned,Max spd 40-60mph,10,3,29,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0822SX014,2022-08-15,9,20,PM,Hazardous material release,Washington,80,>1 mile and <=2 miles,Snow/Hail,2,1091,15,0,Other,Leased Another Railroad,Max spd 10mph or less,3,3,479,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
22072701,2022-07-27,8,50,AM,Trespasser,Washington,90,>1/4 mile and <=1/2 mile,Clear/PC,46,3097,0,100,Other,Owned by Carrier,Max spd 25-40mph,9,9,481,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
DGN966422,2022-05-22,5,30,PM,Derailment,Washington,65,>1/4 mile and <=1/2 mile,Clear/PC,10,132,0,4,Other,Leased Another Railroad,Max spd 10mph or less,4,4,113,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
22080101,2022-08-01,9,5,PM,Hazardous material release,Washington,91,>1 mile and <=2 miles,Clear/PC,10,860,3,4,Human,Owned by Carrier,Max spd 10mph or less,4,4,251,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0422GC011,2022-04-08,6,0,PM,Derailment,Washington,77,>1/2 mile and <=1 mile,Clear/PC,3,368,0,11,Other,Leased Another Railroad,Max spd 10mph or less,1,3,39,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
220408005,2022-04-08,4,35,AM,Derailment,Washington,80,<=1/4 mile,Clear/PC,10,9730,79,1,Other,Owned by Carrier,Max spd 10mph or less,10,10,453,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
KS0622115,2022-06-24,9,40,PM,Derailment,Washington,75,>1 mile and <=2 miles,Clear/PC,6,10235,67,57,Other,Leased Another Railroad,Max spd 10mph or less,1,1,375,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
RLAX51922,2022-05-19,1,15,PM,Derailment,Washington,92,>1/4 mile and <=1/2 mile,Clear/PC,5,600,0,20,Human,Leased Another Railroad,Max spd 10mph or less,5,5,71,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
0622HO012,2022-06-09,2,40,AM,Derailment,Washington,79,>1 mile and <=2 miles,Clear/PC,6,7434,23,123,Human,Jointly Owned,Max spd 10mph or less,8,10,201,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0622HO026,2022-06-27,8,15,AM,Derailment,Washington,92,>1/4 mile and <=1/2 mile,Clear/PC,7,4776,33,22,Other,Leased Another Railroad,Max spd 10mph or less,1,3,201,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
0622GC010,2022-06-15,7,15,AM,Trespasser,Washington,78,<=1/4 mile,Clear/PC,35,7014,38,50,Other,Owned by Carrier,Max spd 25-40mph,2,2,245,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
0522HO031,2022-05-31,3,15,AM,Derailment,Washington,84,>1 mile and <=2 miles,Clear/PC,3,13548,104,0,Human,Trackage Rights Only,Max spd 10mph or less,7,3,167,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
KS0722113,2022-07-30,10,59,PM,Derailment,Washington,85,>1 mile and <=2 miles,Clear/PC,5,5970,12,125,Other,Leased Another Railroad,Max spd 10mph or less,1,1,375,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
KS0722115,2022-07-31,11,51,PM,Derailment,Washington,85,>1 mile and <=2 miles,Clear/PC,5,3418,22,13,Other,Leased Another Railroad,Max spd 10mph or less,3,7,375,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
