incdtno,year,month,day,timehr,timemin,ampm,type,state,temp,visiblty,weather,trnspd,tons,loadf1,emptyf1,cause,acctrk,acctrkcl,enghr,cdtrhr,cntycd
I01202201,22,1,14,1,27,AM,1,34,36,4,2.0,12,0,0,0,T,2,3,2,3,17
146132,22,8,10,8,31,AM,1,34,80,2,1.0,5,0,21,8,T,2,1,8,3,7
I11202201,22,11,8,8,25,PM,12,34,52,4,1.0,8,0,0,0,H,2,1,3,3,17
202210409,22,10,15,11,50,PM,7,34,53,4,1.0,42,0,0,0,M,1,3,8,8,3
221116SD2,22,11,16,6,34,PM,9,34,44,3,2.0,29,3500,20,37,M,1,3,10,10,37
202210396,22,9,26,4,20,PM,11,34,56,2,2.0,43,0,0,0,E,1,3,7,7,3
I12202203,22,12,25,4,18,PM,3,34,27,2,2.0,15,0,0,0,H,2,1,2,2,17
151477,22,11,15,9,0,PM,7,34,51,4,3.0,40,1196,25,0,M,1,4,8,8,23
146694,22,12,18,9,15,PM,1,34,30,4,1.0,9,4273,33,0,T,3,1,4,4,13
0422GP026,22,4,23,5,0,AM,1,31,45,1,2.0,3,2201,11,23,M,2,1,5,3,111
0422GP037,22,4,29,5,50,PM,1,31,73,2,2.0,39,4091,76,2,M,1,5,6,6,19
0422GL005,22,4,4,5,20,PM,1,31,59,2,1.0,34,19305,135,0,E,1,5,10,10,53
0422GP010,22,4,13,5,0,PM,12,31,46,2,2.0,7,53,0,1,M,2,1,3,3,111
0422GP006,22,4,9,3,30,PM,12,31,82,2,1.0,0,425,3,0,E,2,2,3,3,111
0422GP006,22,4,9,3,30,PM,12,31,82,2,1.0,13,425,3,0,E,2,2,3,3,111
0422GP010,22,4,13,5,0,PM,12,31,46,2,2.0,0,52,0,1,M,2,1,3,3,111
0122GL011,22,1,19,7,40,PM,13,31,6,3,2.0,3,1080,7,5,H,2,1,2,2,141
0122GP017,22,1,11,4,40,PM,1,31,55,2,1.0,50,9746,58,69,E,1,4,6,6,35
0122GP046,22,1,31,11,0,PM,1,31,36,4,1.0,5,11518,125,52,H,2,1,9,9,111
HL0122113,22,1,25,3,30,AM,1,31,0,4,1.0,4,2010,0,82,H,2,1,1,1,109
0222GL008,22,2,11,8,54,PM,1,31,20,4,1.0,34,12359,103,0,T,1,3,9,9,177
PR0222109,22,2,13,1,6,PM,1,31,50,2,1.0,3,0,0,0,H,2,1,13,3,13
0422GP013,22,4,17,7,20,PM,1,31,61,3,2.0,15,6366,0,297,E,2,3,2,2,111
0422GP015,22,4,19,6,0,AM,12,31,40,1,2.0,11,129,1,0,M,2,2,3,3,111
PR0422102,22,4,6,4,37,AM,1,31,33,1,1.0,7,5917,38,22,H,2,1,4,4,157
